location,lon,lat
Aberdeen,-123.815722,46.975371
Acworth,-84.6768796,34.0659329
Addison village,-87.9889556,41.931696
Adelanto,-117.409215,34.5827699
Adrian,-84.0373054,41.8975152
Agawam Town,0,0
Agoura Hills,-118.7657042,34.14791
Aiken,-81.721952,33.5598586
Alabaster,-86.8163773,33.2442813
Alameda,-122.2416355,37.7652076
Alamogordo,-105.9603398,32.8997997
Albany,-73.754968,42.6511674
Albertville,-86.2088669,34.2675937
Alexandria,-92.4449087,31.311248
Algonquin village,-88.2942493,42.1655801
Alhambra,-118.12706,34.093042
Aliso Viejo,-117.7258122,33.5761376
Allen,-96.6705503,33.1031744
Allen Park,-83.2107671,42.2595071
Alliance,-81.1059309,40.9153362
Alpharetta,-84.2747329,34.0709576
Altamonte Springs,-81.376268613721,28.6649055
Alton,-90.1842764,38.8906038
Altoona,-78.394736,40.518681
Alvin,-95.2441009,29.4238472
American Fork,-111.7957645,40.3768954
Ames,-93.6170554,42.0267703
Anderson,-85.6802541,40.1053196
Andover,-71.1408776,42.65717
Ankeny,-93.6003837,41.7318715
Annapolis,-76.492786,38.9786401
Anniston,-85.8398422788233,33.695381
Apache Junction,-111.5495439,33.4150484
Apex town,0,0
Apopka,-81.5115214,28.6779683
Apple Valley,-93.21772,44.7319094
Apple Valley town,-92.3460511101383,45.424971
Appleton,-88.4067604,44.2611337
Arcadia,-118.0401497,34.1362075
Ardmore,-97.1436254,34.1742611
Arlington Heights village,-87.9802164,42.0811563
Arnold,-123.3936231,39.518771
Arvin,-118.828431,35.209129
Asheboro,-79.8136446,35.7079146
Asheville,-82.5540161,35.6009498
Ashland,-82.6379387,38.4784144
Atascadero,-120.6707255,35.4894169
Athens,-83.376398,33.9597677
Atlantic City,-74.4229351,39.3642852
Attleboro,-71.2806515,41.9438129
Atwater,-120.609084,37.3477174
Auburn,-85.4188030161554,32.5461135
Auburn Hills,-83.230937613002,42.6647495
Austin,-97.7436995,30.2711286
Aventura,-80.1428234,25.9653698
Avon,-106.471183807855,39.6329025
Avon Lake,-82.0185891,41.510029
Avondale,-112.3495572,33.4354989
Azusa,-117.9056046,34.1338751
Bainbridge Island,-122.5204513,47.6262626
Balch Springs,-96.6227714,32.7287413
Baldwin Park,-117.9611761,34.0854739
Ballwin,-90.5385549,38.5936028
Bangor,-68.7778138,44.8011821
Banning,-116.875289,33.9255685
Barberton,-81.6051221,41.012833
Barnstable Town,0,0
Barstow,-117.0172077,34.8957684
Bartlesville,-95.9782966,36.7494864
Bartlett,-88.1850028,41.9908485
Bartlett village,-88.1850028,41.9908485
Batavia,-88.3125738,41.8500284
Battle Creek,-85.1824269,42.3192548
Bay City,-95.969402,28.9827565
Bayonne,-74.1143091,40.6687141
Baytown,-94.9774274,29.7355047
Beaumont,-94.1018461,30.0860459
Beavercreek,-84.0632685,39.7092262
Beaverton,-122.8037804,45.4871723
Bedford,-86.4872149,38.8611619
Bell,-118.1866361,33.9747806
Bell Gardens,-118.1503953,33.9694561
Bella Vista town,0,0
Belleville,-89.9839935,38.5200504
Bellevue,-122.1923372,47.6144219
Bellflower,-118.1167679,33.8825705
Bellingham,-122.4788361,48.7544012
Belmont,-122.2758008,37.5202145
Beloit,-89.031784,42.5083272
Belton,-97.464453,31.0560132
Belvidere,-88.841734,42.2579991
Benbrook,-97.4605759,32.673188
Bend,-121.3153096,44.0581728
Benicia,-122.1585777,38.049365
Benton,-92.586828,34.5645372
Bentonville,-94.2088172,36.3728538
Bergenfield borough,0,0
Berwyn,-87.7936685,41.8505874
Bessemer,-86.9191832007722,33.3234935
Bethel Park municipality,0,0
Bethlehem,-75.3786521,40.6178915
Bettendorf,-90.5096386,41.5252761
Beverly,-70.8800491,42.5584284
Beverly Hills,-118.3963062,34.0696501
Biddeford,-70.4533844,43.4925843
Big Spring,-101.4787356,32.250398
Biloxi,-88.8853645,30.3960318
Binghamton,-75.914341,42.096968
Birmingham,-86.8024326,33.5206824
Bismarck,-100.783739,46.808327
Bixby,-95.8833235,35.9420431
Blacksburg town,0,0
Blaine,-93.2349489,45.1607987
Bloomingdale village,-77.0113652,38.9167782
Bloomington,-86.5342881,39.1670396
Blue Island,-87.677590627026,41.65530805
Blue Springs,-94.282265,39.017316
Blythe,-114.91206909773,33.5603938
Boca Raton,-80.0830984,26.3586885
Bolingbrook village,-88.0717708,41.7003302
Bonita Springs,-81.8211122,26.3525758
Bossier City,-93.651493587709,32.5066112
Bothell,-122.2068288,47.7598697
